,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Stage 3 Job Size,Job Time
353,354.0,14219.246169809665,14239.99849253467,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.752322725005797
354,355.0,14259.011171510821,14280.201612874751,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.190441363929494
355,356.0,14291.332752213599,14312.328312112348,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.99555989874898
356,357.0,14357.375314580366,14378.345543931828,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.970229351461967
357,358.0,14375.395758039533,14395.95489748317,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.559139443637832
358,359.0,14409.12212804475,14430.022411822367,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.900283777617005
359,360.0,14468.548402711343,14489.679912822694,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.131510111350508
360,361.0,14483.114428427449,14503.994933636308,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.880505208859176
361,362.0,14605.231109986824,14626.330706745586,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.099596758762345
362,363.0,14648.431790437204,14669.218505290166,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.786714852962177
363,364.0,14677.860001978766,14698.61553116363,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.755529184863917
364,365.0,14678.548430848441,14706.395831407843,1.0,1.0,0.0,0.0,1.0,1.0,1.0,27.84740055940165
365,366.0,14684.223481933579,14714.357280127117,2.0,2.0,0.0,0.0,1.0,1.0,1.0,30.133798193537586
366,367.0,14725.607106064,14746.306366229413,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.699260165412852
367,368.0,14798.179570411245,14819.029622275244,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.850051863999397
368,369.0,14917.544700567467,14938.537987137348,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.993286569881093
369,370.0,15081.902086566855,15102.753900190575,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.851813623719863
370,371.0,15107.604989645612,15128.89921393205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.294224286439203
371,372.0,15111.423794052373,15136.919404301601,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.495610249228776
372,373.0,15171.623828374304,15192.954147633232,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.330319258928284
373,374.0,15202.7809960728,15223.878439449296,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.097443376496813
